datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
-12186	6.3748991	0	10.487054	180.90826	10.313362	310.64917	0.00016352193
-12185	7.6433154	0	10.990198	116.76922	11.134758	326.42407	0.00033833599
-12184	4.7600776	0	11.564966	133.48552	10.504391	327.87381	0.00020870418
-12183	3.3433171	0	13.086694	93.873167	13.430804	353.39807	0.00019797954
-12182	3.171483	0	13.257898	195.68819	10.667042	321.93958	0
-12181	2.0100431	0	12.341577	248.24234	10.354145	304.06894	0
-12180	3.9425156	0	13.286584	214.24061	11.766539	322.21191	0
-12179	3.2049261	0	13.63241	219.87541	11.61907	317.55011	0
-12178	3.3317095	0	13.592615	159.16705	12.140464	327.81766	2.0222609e-05
-12177	5.0795019	0	14.793481	56.228757	16.183976	371.06784	0.00041388979
-12176	6.0035478	0	13.996912	61.176344	15.434187	360.3277	0.00021936394
-12175	7.8838998	0	11.470422	75.406688	12.319584	335.65503	0.00030346285
-12174	6.3344742	0	12.582788	154.1604	11.821562	329.5094	0
-12173	6.4158268	0	14.391962	139.20095	14.056273	350.09512	0
-12172	7.9759323	0	13.781335	87.443504	13.584138	350.69986	0.0001976955
-12171	6.0422188	0	12.715845	110.6225	12.940303	334.54156	0.00010756645
-12170	3.4586809	0	11.520868	77.627453	12.348562	332.65576	0.00019868047
-12169	5.7003494	0	12.435876	93.080492	12.560319	348.97574	0.00054633963
-12168	4.0954864	0	10.439355	181.88971	9.0937177	315.17355	0
-12167	5.2994504	0	12.551111	135.71668	11.725829	333.5271	0
-12166	5.2518259	0	13.058618	65.941968	13.800717	353.11469	0.00010213382
-12165	7.6561036	0	12.708612	90.133581	12.739598	347.61484	5.7544077e-05
-12164	4.909842	0	10.578912	149.52293	8.8346453	318.25955	0
-12163	4.7083447	0	11.153589	142.09512	8.9789062	307.93127	0
-12162	3.7904533	0	10.983606	160.60703	9.5310601	318.11789	0
-12161	7.7105009	0	12.878076	120.21044	11.364248	338.63129	2.2931463e-05
-12160	9.4456235	0	14.036554	60.625907	14.301191	360.46295	0.00027728541
-12159	5.889768	0	12.355066	113.50646	12.062999	330.86633	2.8686265e-05
-12158	6.8019524	0	10.953729	118.76366	10.410082	309.43674	0.00011862348
-12157	9.1156219	0	9.7336975	132.32855	8.3929977	300.93262	5.4023733e-05
-12156	5.603862	0	8.3626038	121.326	8.6051917	309.28922	3.4767918e-05
-12155	4.2632902	0	8.4427734	36.039818	8.9597318	326.82913	9.0737271e-05
-12154	4.4436927	0	10.530969	91.428075	10.491194	328.96136	6.4118521e-05
-12153	5.778045	0	10.596124	47.910476	10.915385	338.45795	5.1754284e-05
-12152	8.7433702	0	14.116205	33.044373	15.449974	364.30167	0.00052607658
-12151	5.1074809	0	11.492242	70.351101	11.601977	322.57886	7.1460845e-05
-12150	4.5597222	0	9.8267456	133.12385	8.2750527	295.79819	0
-12149	3.3028564	0	9.548761	154.71027	8.0380216	290.52728	0
-12148	6.6231093	0	11.297327	95.749873	10.31903	332.68466	6.9703383e-06
-12147	6.4064191	0	12.462915	32.184954	12.921351	344.8241	0.00046371931
-12146	5.1875404	0	12.478021	93.929695	12.30335	335.1571	2.4472734e-05
-12145	7.0033332	0	12.946924	37.902385	12.379664	346.02057	0.00025040674
-12144	4.3486555	0	10.5711	89.3964	10.820773	322.26913	0.00035826743
-12143	4.141771	0	9.8241211	113.75793	9.0616169	304.76852	0
-12142	6.4546164	0	9.8471313	113.98617	8.4642563	306.11203	0.00019882279
-12141	7.4120154	0	11.785272	55.081954	12.4305	333.03806	0.00041392798
-12140	8.2286599	0	12.936182	80.67136	12.962073	323.022	0.00031817862
-12139	8.6157779	0	14.206384	60.708047	14.122174	347.67157	0.00036101074
-12138	8.4099625	0	12.956201	97.323525	12.403309	312.6579	0.00011098788
-12137	7.4075058	0	11.293146	77.40806	11.497273	319.78461	0.00012168453
-12136	7.03003	0	10.849115	63.430786	12.123805	329.27704	0.00027845911
-12135	7.338768	0	11.033685	23.440414	11.986901	335.50296	0.00020185489
-12134	5.441777	0	11.27215	67.187645	11.864266	322.83737	9.142223e-05
-12133	2.1473886	0	9.7548462	64.779656	10.408171	324.46161	0
-12132	3.6974287	0	10.012506	74.727144	10.884469	312.55643	0.00014788959
-12131	3.3160678	0	9.5714966	66.05449	10.197341	320.29129	3.1197313e-05
-12130	4.9792191	0	9.6625305	12.656734	10.858481	323.96375	0.00038703459
-12129	6.0420589	0	9.3839966	47.463359	10.10382	310.85168	0.00022430306
-12128	5.8062812	0	10.212244	73.16698	10.390811	311.20706	0.00043756397
-12127	2.3430259	0	9.3939758	89.675276	8.5097114	289.9101	0
-12126	5.8238577	0	8.023645	101.91092	8.305961	281.37149	0
-12125	7.5817145	0	9.8034912	14.620414	10.528276	325.63177	0.0010602313
-12124	3.7199515	0	8.1604858	83.850627	8.1273364	289.89835	0
-12123	7.7466722	0	9.1482483	4.879921	10.242915	317.59256	0.0023756554
-12122	3.8486559	0	6.6602722	83.965663	7.2281864	272.21109	0
-12121	2.1933645	0	5.843866	98.733464	7.1237605	259.1293	0
-12120	3.3248288	0	6.6405884	66.273201	7.1927565	288.85229	5.6899692e-05
-12119	4.4925485	0	7.5266663	58.25733	8.8097887	305.94116	3.2897978e-05
-12118	4.0337099	0	7.6325012	47.353632	8.3671811	309.81369	5.3711979e-05
-12117	8.7660336	0	10.275751	15.133742	11.59831	331.29297	0.00045073517
-12116	8.4474453	0	7.1915527	53.023963	8.5938204	298.24948	0.00021194589
-12115	6.6327531	0	6.8156372	63.652476	7.2731803	279.63788	9.4250291e-05
-12114	6.6805204	0	8.8969055	40.151848	8.6780664	320.01974	0.0011643828
-12113	9.0046137	0	12.185052	22.179813	13.418022	345.5787	0.00045131252
-12112	8.9781726	0	7.7039734	49.697926	8.4884778	301.08517	0.0002437459
-12111	8.6748757	0	7.4222351	22.947107	8.8070898	311.2131	0.00057352853
-12110	8.5731178	0	8.8903442	12.187736	10.63127	322.81717	0.0006930399
-12109	6.184864	0	8.0591675	28.98007	9.7993549	313.28601	0.00035585881
-12108	6.4500354	0	5.2977844	38.685882	7.3767252	293.23425	0.00016244283
-12107	5.750634	0	4.4518372	58.576352	5.9264231	265.17294	0
-12106	4.5628859	0	4.6896606	54.90075	6.7389553	275.82175	1.8492016e-05
-12105	6.786134	0	7.1492554	15.39719	9.1703127	314.15665	0.0005435703
-12104	3.0162874	0	3.0002075	60.169067	5.5828206	266.30563	0
-12103	6.3553783	0	3.0249878	24.44364	6.0572406	287.12796	0.00076202831
-12102	5.3052232	0	2.8331543	49.737689	6.2617628	268.19028	6.5129588e-05
-12101	5.2530215	0	2.7401062	53.346684	6.0136875	263.31818	2.6098725e-05
-12100	4.3690065	0	4.4554993	49.763643	6.5122302	276.10214	2.6136541e-05
-12099	7.9626471	0	7.0759827	25.856177	8.6215627	312.71405	0.00057419541
-12098	9.8096217	0	6.7082458	38.262393	6.6627617	290.05286	3.6298722e-05
-12097	3.4646041	0	5.6988464	20.650133	8.1601261	305.62003	6.3894907e-05
-12096	4.3744594	0	6.6088806	27.410146	8.9113672	316.27133	4.3443011e-05
-12095	5.9840029	0	10.327631	16.26859	12.037943	340.41739	0.00015503012
-12094	6.5132285	0	9.7410217	11.845564	11.332596	326.44186	0.00043465648
-12093	4.8720505	0	5.6662537	38.909023	7.5130588	278.52805	4.6749397e-05
-12092	5.1384116	0	5.869043	32.53168	7.1171428	283.35785	3.8892728e-05
-12091	10.516421	0	9.4138428	6.006585	10.804549	328.7583	0.0012810909
-12090	6.300771	0	8.9910522	16.328212	10.480222	321.19962	0.0017267324
-12089	7.5538083	0	10.776788	16.103973	11.625206	337.81332	0.0002195637
-12088	8.4966409	0	12.204431	23.501118	12.409207	329.77274	0.00021060553
-12087	7.3275693	0	11.989771	15.077775	12.410296	326.35574	0.00030095412
-12086	10.154545	0	10.314508	16.49555	11.145428	318.83786	0.00020861277
-12085	8.7927915	0	9.6387573	18.496733	10.621951	322.44305	5.3300968e-05
-12084	6.6968655	0	8.7557617	20.666877	9.8775598	299.68347	0.00030173406
-12083	8.5507979	0	8.2247864	28.034777	9.0060675	285.41547	0.00012404965
-12082	9.737991	0	9.4677368	14.387759	10.532764	314.57639	0.00074477097
