Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
      140   140.000       11.1748       11.1748       11.1748      0.549834      0.191979E-01   0.00000      -147.041      -13.7233      -73.8578       232.438       0.00000      -366.840       16.0500      0.500000       5.00000       4.00000       1.56697       0.00000       0.00000       0.00000       0.00000    
      141   141.000       11.2822       11.2822       11.2822      0.680878      0.237685E-01   0.00000      -183.835      -25.7553      -93.4954       241.723       0.00000      -367.395       16.0500      0.500000       5.00000       4.00000       1.59043       0.00000       0.00000       0.00000       0.00000    
      142   142.000       11.3544       11.3544       11.3544      0.856007      0.298778E-01  0.237286E-02  -228.738      -38.0915      -118.645       258.706       0.00000      -367.768       16.0500      0.500000       5.00000       4.00000       1.60619       0.00000       0.00000       0.00000       0.00000    
      143   143.000       11.3907       11.3907       11.3907      0.653673      0.228140E-01   0.00000      -228.415      -28.2827      -119.831       301.045       0.00000      -367.956       16.0500      0.500000       5.00000       4.00000       1.61413       0.00000       0.00000       0.00000       0.00000    
      144   144.000       11.4817       11.4817       11.4817      0.262373      0.915553E-02  0.718734E-02  -151.439      -28.3711      -84.5731       81.8805       0.00000      -368.427       16.0500      0.500000       5.00000       4.00000       1.63401       0.00000       0.00000       0.00000       0.00000    
      145   145.000       11.3905       11.3905       11.3905      0.580400      0.202567E-01   0.00000      -116.373      -15.3889      -53.6872       186.164       0.00000      -367.955       16.0500      0.500000       5.00000       4.00000       1.61408       0.00000       0.00000       0.00000       0.00000    
      146   146.000       11.4779       11.4779       11.4779      0.845622      0.295083E-01   0.00000      -169.495      -33.6727      -73.3375       226.698       0.00000      -368.407       16.0500      0.500000       5.00000       4.00000       1.63317       0.00000       0.00000       0.00000       0.00000    
      147   147.000       11.5491       11.5491       11.5491      0.582435      0.203215E-01   0.00000      -163.940      -35.0001      -73.9308       199.626       0.00000      -368.776       16.0500      0.500000       5.00000       4.00000       1.64872       0.00000       0.00000       0.00000       0.00000    
      148   148.000       11.5927       11.5927       11.5927      0.559683      0.195260E-01   0.00000      -148.832       1.28918      -74.7089       313.962       0.00000      -369.002       16.0500      0.500000       5.00000       4.00000       1.65825       0.00000       0.00000       0.00000       0.00000    
      149   149.000       11.8022       11.8022       11.8022      0.540368      0.188446E-01   0.00000      -163.367      -5.86064      -74.4536       334.678       0.00000      -370.089       16.0500      0.500000       5.00000       4.00000       1.70401       0.00000       0.00000       0.00000       0.00000    
      150   150.000       12.0196       12.0196       12.0196      0.418173      0.145771E-01  0.262425E-02  -148.086      -24.7162      -78.7047       165.498       0.00000      -371.220       16.0500      0.500000       5.00000       4.00000       1.75149       0.00000       0.00000       0.00000       0.00000    
      151   151.000       12.0397       12.0397       12.0397      0.542176      0.188990E-01   0.00000      -176.325      -27.6304      -92.9740       206.806       0.00000      -371.324       16.0500      0.500000       5.00000       4.00000       1.75587       0.00000       0.00000       0.00000       0.00000    
      152   152.000       12.0765       12.0765       12.0765      0.332339      0.115837E-01   0.00000      -124.842      -15.5401      -65.4877       170.588       0.00000      -371.516       16.0500      0.500000       5.00000       4.00000       1.76391       0.00000       0.00000       0.00000       0.00000    
      153   153.000       12.1329       12.1329       12.1329      0.149203      0.519993E-02   0.00000      -53.9403       7.79136      -23.4432       178.152       0.00000      -371.810       16.0500      0.500000       5.00000       4.00000       1.77622       0.00000       0.00000       0.00000       0.00000    
      154   154.000       12.2916       12.2898       12.1329      0.253131      0.881927E-02   0.00000      -105.281       23.9301      -57.6585       329.660       0.00000      -372.638       15.6950      0.500000       5.00000       4.00000       1.77622       0.00000       0.00000       0.00000       0.00000    
      155   155.000       12.7133       12.5751       12.1329      0.243931      0.849180E-02   0.00000      -119.110       15.6544      -70.0669       289.075       0.00000      -374.845       8.40654      0.500000       5.00000       4.00000       1.77622       0.00000       0.00000       0.00000       0.00000    
      156   156.000       12.9407       12.7907       12.2103      0.254695      0.886264E-02   0.00000      -100.118       18.9217      -61.7962       260.709       0.00000      -376.039       9.55528      0.507402       5.00000       4.00000       1.79312       0.00000       0.00000       0.00000       0.00000    
      157   157.000       13.1787       12.9942       12.2801      0.269038      0.935740E-02   0.00000      -105.974       32.1989      -63.1501       350.477       0.00000      -377.292       9.67052      0.516497       5.00000       4.00000       1.80837       0.00000       0.00000       0.00000       0.00000    
      158   158.000       13.5766       13.3053       12.2801      0.184837      0.642387E-02   0.00000      -114.138       23.1027      -58.8636       357.754       0.00000      -379.394       9.42826      0.507190       5.00000       4.00000       1.80837       0.00000       0.00000       0.00000       0.00000    
      159   159.000       14.1708       13.6152       12.2801      0.253611      0.880390E-02   0.00000      -123.184       16.6549      -70.4825       300.268       0.00000      -382.548       6.68828      0.503776       5.00000       4.00000       1.80837       0.00000       0.00000       0.00000       0.00000    
      160   160.000       14.4073       13.8399       12.3534      0.798904      0.277206E-01  0.596259E-02  -169.328      -29.0144      -95.0309       134.617       0.00000      -383.809       7.30247      0.506884       5.00000       4.00000       1.82439       0.00000       0.00000       0.00000       0.00000    
      161   161.000       14.2709       13.7930       12.3126      0.457670      0.158846E-01  0.350202E-02  -141.777      -22.7035      -69.9458       168.570       0.00000      -383.082       8.78797      0.539344       5.00000       4.00000       1.81548       0.00000       0.00000       0.00000       0.00000    
      162   162.000       14.3259       13.8251       12.3271      0.243273      0.844251E-02  0.241635E-02  -170.203      -24.6602      -82.8881       216.379       0.00000      -383.375       8.78798      0.553843       5.00000       4.00000       1.81864       0.00000       0.00000       0.00000       0.00000    
      163   163.000       14.4030       13.8819       12.3386      0.559949      0.194295E-01  0.545016E-02  -210.503      -40.2179      -105.165       214.411       0.00000      -383.787       8.78799      0.557889       5.00000       4.00000       1.82115       0.00000       0.00000       0.00000       0.00000    
      164   164.000       14.3927       13.8846       12.3500      0.841215      0.291896E-01  0.797720E-02  -197.141      -48.9704      -97.2291       75.9448       0.00000      -383.732       9.15387      0.578927       5.00000       4.00000       1.82364       0.00000       0.00000       0.00000       0.00000    
      165   165.000       14.0736       13.7269       12.3672      0.799837      0.277710E-01  0.519745E-02  -226.978      -43.7722      -111.404       238.568       0.00000      -382.031       10.8775      0.630510       5.00000       4.00000       1.82740       0.00000       0.00000       0.00000       0.00000    
      166   166.000       14.0794       13.7394       12.4366      0.340870      0.118351E-01  0.569410E-02  -177.427      -34.5266      -91.9595       165.421       0.00000      -382.062       11.3699      0.709790       5.00000       4.00000       1.84254       0.00000       0.00000       0.00000       0.00000    
      167   167.000       14.0450       13.7217       12.4459      0.361227      0.125428E-01   0.00000      -131.462      -7.55483      -68.7281       212.196       0.00000      -381.879       11.5318      0.718282       5.00000       4.00000       1.84459       0.00000       0.00000       0.00000       0.00000    
      168   168.000       14.3440       13.8228       12.4459      0.313697      0.108861E-01   0.00000      -166.426      -16.1242      -80.6136       258.347       0.00000      -383.472       9.73423      0.697846       5.00000       4.00000       1.84459       0.00000       0.00000       0.00000       0.00000    
      169   169.000       14.6228       13.9382       12.4459      0.349450      0.121203E-01   0.00000      -234.676      -29.1081      -117.204       318.924       0.00000      -384.961       8.72860      0.689365       5.00000       4.00000       1.84459       0.00000       0.00000       0.00000       0.00000    
      170   170.000       14.7343       14.0439       12.4539      0.381837      0.132407E-01  0.732994E-02  -150.100      -26.9743      -77.9506       58.6863       0.00000      -385.558       9.07962      0.697173       5.00000       4.00000       1.84632       0.00000       0.00000       0.00000       0.00000    
      171   171.000       14.4938       13.9243       12.4725      0.550148      0.190860E-01  0.590333E-02  -191.006      -37.6620      -98.5553       175.532       0.00000      -384.272       9.65377      0.706943       5.00000       4.00000       1.85038       0.00000       0.00000       0.00000       0.00000    
      172   172.000       14.4419       13.9021       12.4877       1.27062      0.440854E-01  0.118506E-02  -154.259      -27.6144      -68.1495       193.882       0.00000      -383.994       9.87822      0.718282       5.00000       4.00000       1.85371       0.00000       0.00000       0.00000       0.00000    
      173   173.000       14.5093       13.9505       12.4863       1.18941      0.412624E-01  0.400215E-02  -198.141      -34.0776      -95.0084       229.569       0.00000      -384.354       9.87823      0.718282       5.00000       4.00000       1.85341       0.00000       0.00000       0.00000       0.00000    
      174   174.000       14.5620       13.9884       12.4853      0.294010      0.101986E-01  0.564213E-02  -228.233      -35.4991      -123.903       231.479       0.00000      -384.636       9.87823      0.718282       5.00000       4.00000       1.85318       0.00000       0.00000       0.00000       0.00000    
      175   175.000       14.5531       13.9902       12.4854      0.288628      0.100121E-01  0.518040E-02  -167.995      -26.4680      -90.5674       168.214       0.00000      -384.588       9.96724      0.718282       5.00000       4.00000       1.85322       0.00000       0.00000       0.00000       0.00000    
      176   176.000       14.5416       13.9881       12.4857      0.292189      0.101358E-01   0.00000      -228.410      -28.2586      -110.025       324.843       0.00000      -384.527       10.0349      0.718282       5.00000       4.00000       1.85327       0.00000       0.00000       0.00000       0.00000    
